num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,8.71
2,32,32,32,32,1,32,1,32,1,17.97
2,48,48,48,48,1,48,1,48,1,24.02
2,64,64,64,64,1,64,1,64,1,28.93
2,80,80,80,80,1,80,1,80,1,31.41
2,96,96,96,96,1,96,1,96,1,29.92
2,112,112,112,112,1,112,1,112,1,33.28
2,128,128,128,128,1,128,1,128,1,32.89
2,144,144,144,144,1,144,1,144,1,27.35
2,160,160,160,160,1,160,1,160,1,36.98
2,176,176,176,176,1,176,1,176,1,38.48
2,192,192,192,192,1,192,1,192,1,25.91
2,208,208,208,208,1,208,1,208,1,23.10
2,224,224,224,224,1,224,1,224,1,26.48
2,240,240,240,240,1,240,1,240,1,27.16
