num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,9.74
2,32,32,32,32,1,32,1,32,1,14.31
2,48,48,48,48,1,48,1,48,1,16.20
2,64,64,64,64,1,64,1,64,1,17.92
2,80,80,80,80,1,80,1,80,1,19.58
2,96,96,96,96,1,96,1,96,1,20.10
2,112,112,112,112,1,112,1,112,1,20.38
2,128,128,128,128,1,128,1,128,1,19.94
2,144,144,144,144,1,144,1,144,1,25.37
2,160,160,160,160,1,160,1,160,1,22.24
2,176,176,176,176,1,176,1,176,1,22.75
2,192,192,192,192,1,192,1,192,1,2.41
2,208,208,208,208,1,208,1,208,1,3.04
2,224,224,224,224,1,224,1,224,1,2.84
2,240,240,240,240,1,240,1,240,1,3.29
