num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,9.39
2,32,32,32,32,1,32,1,32,1,13.86
2,48,48,48,48,1,48,1,48,1,15.88
2,64,64,64,64,1,64,1,64,1,18.51
2,80,80,80,80,1,80,1,80,1,19.54
2,96,96,96,96,1,96,1,96,1,19.89
2,112,112,112,112,1,112,1,112,1,20.93
2,128,128,128,128,1,128,1,128,1,20.85
2,144,144,144,144,1,144,1,144,1,23.01
2,160,160,160,160,1,160,1,160,1,22.06
2,176,176,176,176,1,176,1,176,1,21.86
2,192,192,192,192,1,192,1,192,1,2.95
2,208,208,208,208,1,208,1,208,1,3.59
2,224,224,224,224,1,224,1,224,1,3.23
2,240,240,240,240,1,240,1,240,1,3.30
