num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,9.30
2,32,32,32,32,1,32,1,32,1,13.49
2,48,48,48,48,1,48,1,48,1,15.49
2,64,64,64,64,1,64,1,64,1,17.39
2,80,80,80,80,1,80,1,80,1,18.21
2,96,96,96,96,1,96,1,96,1,19.71
2,112,112,112,112,1,112,1,112,1,20.37
2,128,128,128,128,1,128,1,128,1,20.73
2,144,144,144,144,1,144,1,144,1,25.90
2,160,160,160,160,1,160,1,160,1,21.87
2,176,176,176,176,1,176,1,176,1,22.26
2,192,192,192,192,1,192,1,192,1,4.00
2,208,208,208,208,1,208,1,208,1,4.35
2,224,224,224,224,1,224,1,224,1,4.53
2,240,240,240,240,1,240,1,240,1,4.67
