num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,9.41
2,32,32,32,32,1,32,1,32,1,13.22
2,48,48,48,48,1,48,1,48,1,15.41
2,64,64,64,64,1,64,1,64,1,18.17
2,80,80,80,80,1,80,1,80,1,18.96
2,96,96,96,96,1,96,1,96,1,19.65
2,112,112,112,112,1,112,1,112,1,19.61
2,128,128,128,128,1,128,1,128,1,20.14
2,144,144,144,144,1,144,1,144,1,25.94
2,160,160,160,160,1,160,1,160,1,22.23
2,176,176,176,176,1,176,1,176,1,18.88
2,192,192,192,192,1,192,1,192,1,4.68
2,208,208,208,208,1,208,1,208,1,5.81
2,224,224,224,224,1,224,1,224,1,6.60
2,240,240,240,240,1,240,1,240,1,7.40
