num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.40
2,32,32,32,32,1,32,1,32,1,1.29
2,48,48,48,48,1,48,1,48,1,2.20
2,64,64,64,64,1,64,1,64,1,3.27
2,80,80,80,80,1,80,1,80,1,4.08
2,96,96,96,96,1,96,1,96,1,4.86
2,112,112,112,112,1,112,1,112,1,5.97
2,128,128,128,128,1,128,1,128,1,5.63
2,144,144,144,144,1,144,1,144,1,3.75
2,160,160,160,160,1,160,1,160,1,3.55
2,176,176,176,176,1,176,1,176,1,3.90
2,192,192,192,192,1,192,1,192,1,5.03
2,208,208,208,208,1,208,1,208,1,5.47
2,224,224,224,224,1,224,1,224,1,5.88
2,240,240,240,240,1,240,1,240,1,6.28
