num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.60
2,32,32,32,32,1,32,1,32,1,2.92
2,48,48,48,48,1,48,1,48,1,5.00
2,64,64,64,64,1,64,1,64,1,6.58
2,80,80,80,80,1,80,1,80,1,7.14
2,96,96,96,96,1,96,1,96,1,7.46
2,112,112,112,112,1,112,1,112,1,7.79
2,128,128,128,128,1,128,1,128,1,7.74
2,144,144,144,144,1,144,1,144,1,6.20
2,160,160,160,160,1,160,1,160,1,6.71
2,176,176,176,176,1,176,1,176,1,7.72
2,192,192,192,192,1,192,1,192,1,7.73
2,208,208,208,208,1,208,1,208,1,7.71
2,224,224,224,224,1,224,1,224,1,7.75
2,240,240,240,240,1,240,1,240,1,7.59
