num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.55
2,32,32,32,32,1,32,1,32,1,2.74
2,48,48,48,48,1,48,1,48,1,4.71
2,64,64,64,64,1,64,1,64,1,6.03
2,80,80,80,80,1,80,1,80,1,6.27
2,96,96,96,96,1,96,1,96,1,6.76
2,112,112,112,112,1,112,1,112,1,7.09
2,128,128,128,128,1,128,1,128,1,5.99
2,144,144,144,144,1,144,1,144,1,5.62
2,160,160,160,160,1,160,1,160,1,5.83
2,176,176,176,176,1,176,1,176,1,6.97
2,192,192,192,192,1,192,1,192,1,7.00
2,208,208,208,208,1,208,1,208,1,7.01
2,224,224,224,224,1,224,1,224,1,7.01
2,240,240,240,240,1,240,1,240,1,7.01
