num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.59
2,32,32,32,32,1,32,1,32,1,2.72
2,48,48,48,48,1,48,1,48,1,4.80
2,64,64,64,64,1,64,1,64,1,6.01
2,80,80,80,80,1,80,1,80,1,6.67
2,96,96,96,96,1,96,1,96,1,6.86
2,112,112,112,112,1,112,1,112,1,6.20
2,128,128,128,128,1,128,1,128,1,7.30
2,144,144,144,144,1,144,1,144,1,6.91
2,160,160,160,160,1,160,1,160,1,7.10
2,176,176,176,176,1,176,1,176,1,7.15
2,192,192,192,192,1,192,1,192,1,6.90
2,208,208,208,208,1,208,1,208,1,7.18
2,224,224,224,224,1,224,1,224,1,7.19
2,240,240,240,240,1,240,1,240,1,7.11
