num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.60
2,32,32,32,32,1,32,1,32,1,4.04
2,48,48,48,48,1,48,1,48,1,12.08
2,64,64,64,64,1,64,1,64,1,22.06
2,80,80,80,80,1,80,1,80,1,29.84
2,96,96,96,96,1,96,1,96,1,29.49
2,112,112,112,112,1,112,1,112,1,50.40
2,128,128,128,128,1,128,1,128,1,68.16
2,144,144,144,144,1,144,1,144,1,50.85
2,160,160,160,160,1,160,1,160,1,56.79
2,176,176,176,176,1,176,1,176,1,63.34
2,192,192,192,192,1,192,1,192,1,69.50
2,208,208,208,208,1,208,1,208,1,60.48
2,224,224,224,224,1,224,1,224,1,67.17
2,240,240,240,240,1,240,1,240,1,71.70
