num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.68
2,32,32,32,32,1,32,1,32,1,4.64
2,48,48,48,48,1,48,1,48,1,13.06
2,64,64,64,64,1,64,1,64,1,22.58
2,80,80,80,80,1,80,1,80,1,36.96
2,96,96,96,96,1,96,1,96,1,53.15
2,112,112,112,112,1,112,1,112,1,57.88
2,128,128,128,128,1,128,1,128,1,60.25
2,144,144,144,144,1,144,1,144,1,46.51
2,160,160,160,160,1,160,1,160,1,58.72
2,176,176,176,176,1,176,1,176,1,56.80
2,192,192,192,192,1,192,1,192,1,74.96
2,208,208,208,208,1,208,1,208,1,64.43
2,224,224,224,224,1,224,1,224,1,69.80
2,240,240,240,240,1,240,1,240,1,73.44
