num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.32
2,32,32,32,32,1,32,1,32,1,1.96
2,48,48,48,48,1,48,1,48,1,7.00
2,64,64,64,64,1,64,1,64,1,14.74
2,80,80,80,80,1,80,1,80,1,23.82
2,96,96,96,96,1,96,1,96,1,38.41
2,112,112,112,112,1,112,1,112,1,48.28
2,128,128,128,128,1,128,1,128,1,47.16
2,144,144,144,144,1,144,1,144,1,48.56
2,160,160,160,160,1,160,1,160,1,53.88
2,176,176,176,176,1,176,1,176,1,52.37
2,192,192,192,192,1,192,1,192,1,66.35
2,208,208,208,208,1,208,1,208,1,61.14
2,224,224,224,224,1,224,1,224,1,67.66
2,240,240,240,240,1,240,1,240,1,73.95
