num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,0.29
2,32,32,32,32,1,32,1,32,1,1.61
2,48,48,48,48,1,48,1,48,1,6.90
2,64,64,64,64,1,64,1,64,1,14.11
2,80,80,80,80,1,80,1,80,1,24.59
2,96,96,96,96,1,96,1,96,1,36.70
2,112,112,112,112,1,112,1,112,1,42.35
2,128,128,128,128,1,128,1,128,1,58.29
2,144,144,144,144,1,144,1,144,1,47.87
2,160,160,160,160,1,160,1,160,1,53.55
2,176,176,176,176,1,176,1,176,1,61.46
2,192,192,192,192,1,192,1,192,1,69.12
2,208,208,208,208,1,208,1,208,1,59.71
2,224,224,224,224,1,224,1,224,1,67.16
2,240,240,240,240,1,240,1,240,1,71.37
